NAME,RTG,TEAM,GP,TGT,REC,TGT/G,YDS,100+ YDS,YDS/REC,TD,LONG,FUM,FUML
"Tyler Boyd",82,"CIN","9","49","37","5.4","537","2","14.5","4","60",0,0
"Christian Kirk",82,"JAX","10","82","52","8.2","679","2","13.1","7","49","1","1"
"Garrett Wilson",82,"NYJ","9","68","42","7.6","521","2","12.4","2","54","1",0
"Brandon Aiyuk",82,"SF","9","61","44","6.8","567",0,"12.9","4","34","1","1"
"Michael Gallup",82,"DAL","6","30","16","5","170",0,"10.6","1","27",0,0
"Chris Olave",82,"NO","9","77","46","8.6","658","2","14.3","2","51","1","1"
"Mecole Hardman",81,"KC","8","34","25","4.2","297",0,"11.9","4","36","1",0
"Nelson Agholor",81,"NE","8","21","15","2.6","227","1","15.1","1","44","2","2"
"Jakobi Meyers",81,"NE","7","51","40","7.3","457","1","11.4","3","30","1","1"
"JuJu Smith-Schuster",81,"KC","9","64","46","7.1","615","2","13.4","2","53","2","1"
"Robbie Anderson",81,"ARI","10","34","14","3.4","202","1","14.4","1","75","1","1"
"Allen Robinson II",80,"LAR","9","47","29","5.2","292",0,"10.1","2","29",0,0
"DeVante Parker",80,"NE","8","28","15","3.5","321","1","21.4","1","43",0,0
"Kendrick Bourne",80,"NE","8","19","14","2.4","167",0,"11.9",0,"41","2",0
"Jarvis Landry",80,"NO","5","27","18","5.4","205","1","11.4",0,"40",0,0
"Julio Jones",80,"TB","5","21","11","4.2","178",0,"16.2","2","48",0,0
"Rondale Moore",79,"ARI","7","56","41","8","414",0,"10.1","1","38",0,0
"Kadarius Toney",79,"KC","4","10","8","2.5","69",0,"8.6","1","23",0,0
"Rashod Bateman",79,"BAL","6","28","15","4.7","285","1","19","2","75","1","1"
"Darnell Mooney",79,"CHI","10","56","36","5.6","464",0,"12.9","1","56",0,0
"Allen Lazard",79,"GB","8","55","33","6.9","472","1","14.3","5","47",0,0
"A.J. Green",79,"ARI","8","25","12","3.1","66",0,"5.5","1","10",0,0
"George Pickens",78,"PIT","9","48","29","5.3","370","1","12.8","1","36",0,0
"Drake London",78,"ATL","10","62","38","6.2","407",0,"10.7","3","31","1","1"
"Russell Gage",78,"TB","7","40","29","5.7","231",0,"8","1","20","1","1"
"Chase Claypool",78,"CHI","10","58","35","5.8","332",0,"9.5","1","26",0,0
"Devin Duvernay",78,"BAL","9","33","25","3.7","318",0,"12.7","3","31",0,0
"Van Jefferson",78,"LAR","3","8","3","2.7","27",0,"9","1","19",0,0
"Marvin Jones Jr.",78,"JAX","9","50","28","5.6","346","1","12.4","1","37",0,0
"Corey Davis",78,"NYJ","7","34","19","4.9","351",0,"18.5","2","66",0,0
"Robert Woods",78,"TEN","9","43","24","4.8","266",0,"11.1","1","41","1","1"
"Kenny Golladay",77,"NYG","5","8","2","1.6","22",0,"11",0,"15",0,0
"Jamison Crowder",77,"BUF","4","13","6","3.2","60",0,"10",0,"16","1",0
"Josh Reynolds",77,"DET","7","42","26","6","357",0,"13.7","2","31",0,0
"Elijah Moore",77,"NYJ","8","31","16","3.9","203",0,"12.7",0,"28",0,0
